canonicalName	genus	obs_FI	obs_NO	genusKey	speciesKey	count_FI_60N	count_NO_60N	count_FI_66N	count_NO_66N
abies alba	abies	22	3013	2684876	2685484	20	1044	0	40
abies amabilis	abies	3	8	2684876	2685524	3	7	0	0
abies balsamea	abies	174	41	2684876	2685383	170	26	0	1
abies cephalonica	abies	0	8	2684876	2685326	0	1	0	0
abies concolor	abies	70	102	2684876	2685580	69	29	0	0
abies firma	abies	0	3	2684876	2685414	0	3	0	0
abies grandis	abies	1	53	2684876	2685361	1	10	0	1
abies homolepis	abies	2	2	2684876	2685663	2	2	0	0
abies koreana	abies	26	39	2684876	2685681	26	20	0	0
abies lasiocarpa	abies	2	134	2684876	2685313	2	88	0	13
abies nephrolepis	abies	2	0	2684876	2685601	2	0	0	0
abies nordmanniana	abies	4	95	2684876	2685552	3	51	0	1
abies procera	abies	0	181	2684876	2685308	0	119	0	2
abies sachalinensis	abies	4	7	2684876	2685437	4	6	0	0
abies sibirica	abies	318	35	2684876	2685654	316	27	5	3
abies veitchii	abies	7	13	2684876	2685400	6	13	0	0
abietinella abietina	abietinella	1096	1972	8179085	5283402	992	1072	123	116
abutilon theophrasti	abutilon	227	196	3152599	3152614	219	23	3	0
acaena argentea	acaena	0	4	3031147	5370675	0	4	0	0
acaena glabra	acaena	0	2	3031147	5370805	0	2	0	0
acaena inermis	acaena	0	3	3031147	5370687	0	3	0	0
acaena magellanica	acaena	0	2	3031147	5370832	0	2	0	0
acanthus mollis	acanthus	0	7	3173198	5415455	0	7	0	0
acanthus spinosus	acanthus	0	4	3173198	5415453	0	4	0	0
acaulon muticum	acaulon	11	65	8215221	5280933	7	33	0	0
acer campestre	acer	16	176	3189834	3189863	15	12	0	0
acer griseum	acer	0	2	3189834	3768452	0	2	0	0
acer japonicum	acer	0	5	3189834	3767816	0	2	0	0
acer negundo	acer	157	22	3189834	3189866	151	9	0	0
acer palmatum	acer	0	10	3189834	3189882	0	2	0	0
acer pictum	acer	5	2	3189834	7262911	5	0	0	0
acer platanoides	acer	16774	15955	3189834	3189846	16409	3117	24	24
acer pseudoplatanus	acer	142	35434	3189834	3189870	134	23933	0	344
acer rubrum	acer	4	3	3189834	3189883	4	3	0	0
acer saccharinum	acer	4	7	3189834	3189837	4	1	0	0
acer saccharum	acer	1	4	3189834	3189859	1	4	0	0
acer tataricum	acer	573	372	3189834	3189843	571	49	0	0
achillea alpina	achillea	0	2	3119995	3120223	0	2	0	0
achillea aspleniifolia	achillea	34	2	3119995	7491603	34	1	4	0
achillea cartilaginea	achillea	16	0	3119995	7837255	1	0	0	0
achillea collina	achillea	10	1	3119995	7767460	9	1	0	0
achillea decolorans	achillea	0	3	3119995	8111647	0	3	0	0
achillea filipendulina	achillea	4	14	3119995	3120284	4	4	0	2
achillea millefolium	achillea	60213	39512	3119995	3120060	59096	20105	9037	4150
achillea nobilis	achillea	37	231	3119995	3120024	35	25	0	1
achillea ptarmica	achillea	30745	14760	3119995	3120333	30137	6249	1462	1246
achillea salicifolia	achillea	335	51	3119995	12211422	195	50	6	50
achillea setacea	achillea	69	598	3119995	3120066	69	598	0	598
achillea tomentosa	achillea	0	13	3119995	7787053	0	8	0	3
achnatherum calamagrostis	achnatherum	14829	5405	2703376	4142326	14454	4873	5588	2623
aciphylla aurea	aciphylla	0	5	5428316	5539163	0	5	0	0
aciphylla colensoi	aciphylla	0	2	5428316	5928318	0	2	0	0
aciphylla dobsonii	aciphylla	0	2	5428316	5539125	0	2	0	0
aciphylla glaucescens	aciphylla	0	3	5428316	5539107	0	3	0	0
aciphylla horrida	aciphylla	0	2	5428316	5539092	0	2	0	0
aciphylla pinnatifida	aciphylla	0	2	5428316	5539029	0	2	0	0
aciphylla simplex	aciphylla	0	2	5428316	5538995	0	2	0	0
aciphylla subflabellata	aciphylla	0	4	5428316	5538969	0	4	0	0
aconitum cammarum	aconitum	365	642	3033663	7967494	359	417	12	269
aconitum degenii	aconitum	1	1	3033663	8295887	1	1	0	0
aconitum lycoctonum	aconitum	27	1330	3033663	3033675	22	1147	1	64
aconitum napellus	aconitum	84	427	3033663	3033665	75	381	2	295
aconitum septentrionale	aconitum	175	18018	3033663	6374443	160	14558	0	1787
aconitum variegatum	aconitum	0	5	3033663	8090449	0	2	0	1
acorus calamus	acorus	729	521	2730063	2873769	649	65	0	0
acorus gramineus	acorus	0	5	2730063	2873807	0	5	0	0
acrochaetium alariae	acrochaetium	0	42	2663839	9294503	0	28	0	15
acrochaetium balticum	acrochaetium	0	3	2663839	9474364	0	3	0	0
acrochaetium collopodum	acrochaetium	0	4	2663839	2664499	0	3	0	0
acrochaetium humile	acrochaetium	0	4	2663839	2663911	0	3	0	0
acrochaetium inclusum	acrochaetium	0	2	2663839	2664192	0	1	0	0
acrochaetium macula	acrochaetium	0	2	2663839	2663843	0	2	0	0
acrochaetium microscopicum	acrochaetium	0	3	2663839	8717915	0	1	0	0
acrochaetium moniliforme	acrochaetium	0	2	2663839	2664382	0	2	0	0
acrochaetium parvulum	acrochaetium	0	10	2663839	2664224	0	7	0	0
acrochaetium reductum	acrochaetium	0	3	2663839	2664437	0	3	0	0
acrochaetium secundatum	acrochaetium	0	81	2663839	8214497	0	38	0	1
acrochaetium sparsum	acrochaetium	0	5	2663839	2664041	0	1	0	0
acrosiphonia arcta	acrosiphonia	127	367	2645300	2645308	114	271	0	235
acrosiphonia sonderi	acrosiphonia	0	16	2645300	2645302	0	12	0	12
acrosiphonia spinescens	acrosiphonia	0	15	2645300	2645330	0	2	0	2
acrosorium ciliolatum	acrosorium	0	1	2662387	2662395	0	1	0	1
actaea erythrocarpa	actaea	64	0	3032252	5616603	1679	0	1307	0
actaea pachypoda	actaea	1	1	3032252	5371705	0	1	0	0
actaea rubra	actaea	1990	21	3032252	5371704	1818	16	1318	2
actaea spicata	actaea	8561	12417	3032252	5371473	8269	6477	203	816
actinastrum hantzschii	actinastrum	72	4	9386473	2638622	72	0	0	0
actinidia arguta	actinidia	0	9	3189691	3189693	0	4	0	0
actinidia chinensis	actinidia	6	16	3189691	3189694	6	13	0	0
actinidia kolomikta	actinidia	0	16	3189691	7270682	0	11	0	0
actinidia pilosula	actinidia	0	3	3189691	7749752	0	3	0	0
actinidia polygama	actinidia	0	3	3189691	3189692	0	3	0	0
