canonicalName	genus	obs_FI	obs_NO	genusKey	speciesKey	count_FI_60N	count_NO_60N	count_FI_66N	count_NO_66N
aagaardia protensa	aagaardia	35	5	1446565	1446570	35	5	10	0
aagaardia sivertseni	aagaardia	65	2	1446565	1446566	64	2	45	0
aaosphaeria arxii	aaosphaeria	0	2	7253868	3542987	0	2	0	0
abacetus nigrinus	abacetus	3	0	4406427	8369580	0	0	0	0
abacoproeces saltuum	abacoproeces	155	25	2137142	2137144	131	13	13	2
abaristophora arctophila	abaristophora	2	0	1549256	1549262	1	0	1	0
abaristophora kolaensis	abaristophora	2	0	1549256	8660254	2	0	1	0
abax parallelepipedus	abax	0	93	4988750	5754772	0	0	0	0
abdera affinis	abdera	115	60	4406398	4453554	97	46	21	11
abdera flexuosa	abdera	110	124	4406398	4453551	88	49	16	30
abia aenea	abia	164	38	3259207	8305113	160	0	0	0
abia antennata	abia	1	0	3259207	7476822	1	0	1	0
abia candens	abia	159	11	3259207	5759487	157	2	0	0
abia fasciata	abia	262	116	3259207	5759491	259	51	29	10
abia mutica	abia	119	0	3259207	7980543	117	0	3	0
abia nitens	abia	13	0	3259207	8028727	13	0	0	0
abia sericea	abia	3	19	3259207	5759492	0	12	0	2
abies alba	abies	22	3047	2684876	2685484	20	1048	0	40
abies amabilis	abies	3	8	2684876	2685524	3	7	0	0
abies balsamea	abies	174	43	2684876	2685383	170	28	0	3
abies cephalonica	abies	0	8	2684876	2685326	0	1	0	0
abies concolor	abies	71	103	2684876	2685580	70	29	0	0
abies firma	abies	0	3	2684876	2685414	0	3	0	0
abies grandis	abies	1	53	2684876	2685361	1	10	0	1
abies homolepis	abies	3	2	2684876	2685663	3	2	0	0
abies koreana	abies	26	39	2684876	2685681	26	20	0	0
abies lasiocarpa	abies	2	134	2684876	2685313	2	88	0	13
abies nephrolepis	abies	2	0	2684876	2685601	2	0	0	0
abies nordmanniana	abies	4	96	2684876	2685552	3	51	0	1
abies procera	abies	0	182	2684876	2685308	0	120	0	2
abies sachalinensis	abies	5	7	2684876	2685437	5	6	0	0
abies sibirica	abies	325	36	2684876	2685654	323	28	6	4
abies veitchii	abies	9	13	2684876	2685400	8	13	0	0
abietinaria abietina	abietinaria	0	85	2269244	2269258	0	17	0	12
abietinaria filicula	abietinaria	1	23	2269244	2269252	1	3	0	3
abietinaria fusca	abietinaria	0	4	2269244	2269280	0	3	0	0
abietinaria pulchra	abietinaria	0	2	2269244	2269263	0	2	0	1
abietinella abietina	abietinella	1100	1984	8179085	5283402	997	1083	124	120
abiskoa abiskoensis	abiskoa	8	26	2137060	2137061	8	16	1	1
abiskomyia paravirgo	abiskomyia	44	0	1451360	1451362	44	0	26	0
abiskomyia virgo	abiskomyia	2	3	1451360	1451361	2	3	2	3
ablabesmyia aspera	ablabesmyia	1	436	1450386	1450408	1	156	1	8
ablabesmyia illinoensis	ablabesmyia	3	5	1450386	1450491	3	5	2	4
ablabesmyia longistyla	ablabesmyia	699	535	1450386	1450425	690	305	146	60
ablabesmyia monilis	ablabesmyia	987	1642	1450386	1450453	976	742	296	258
ablabesmyia phatta	ablabesmyia	402	15	1450386	1450478	402	10	137	2
ablaxia anaxenor	ablaxia	0	10	1394895	1394910	0	0	0	0
ablaxia megachlora	ablaxia	0	3	1394895	1394905	0	0	0	0
ablaxia parviclava	ablaxia	0	7	1394895	1394914	0	0	0	0
ablerus atomon	ablerus	5	0	1364463	1364552	5	0	0	0
abludomelita obtusata	abludomelita	0	179	2215972	2215986	0	75	0	56
abollifer globosa	abollifer	0	5	9359214	8626642	0	5	0	1
abomalus masoni	abomalus	0	5	1396954	1396955	0	5	0	5
abortiporus biennis	abortiporus	2	27	2540798	2544114	0	4	0	0
abothrium gadi	abothrium	0	8	4344976	4344977	0	0	0	0
abra alba	abra	0	2135	2286755	5189061	0	1590	0	183
abra longicallus	abra	0	16135	2286755	5729090	0	15649	0	1680
abra nitida	abra	0	24668	2286755	5189057	0	18580	0	5042
abra philippinensis	abra	0	5	2286755	6527785	0	0	0	0
abra prismatica	abra	0	9614	2286755	5189053	0	5697	0	1088
abra tenuis	abra	0	9	2286755	5189054	0	4	0	2
abramis brama	abramis	2174	3028	2363407	9809222	2145	1290	31	148
abraxas grossulariata	abraxas	1755	482	1967722	1967873	1059	57	0	0
abraxas sylvata	abraxas	10087	136	1967722	1967815	8843	68	1	0
abrolophus artemisiae	abrolophus	0	6	2128047	4539829	0	6	0	0
abrolophus bohdani	abrolophus	0	3	2128047	10703046	0	3	0	0
abrolophus miniatus	abrolophus	2	9	2128047	4539799	2	8	0	0
abrolophus quisquiliarus	abrolophus	0	12	2128047	4539810	0	12	0	0
abrolophus rhopalicus	abrolophus	0	6	2128047	4539839	0	5	0	0
abrostola asclepiadis	abrostola	696	0	1767590	1767608	414	0	0	0
abrostola tripartita	abrostola	15727	2921	1767590	1767625	14469	1251	5	0
abrostola triplasia	abrostola	8157	320	1767590	1767597	7302	6	0	0
abrothallus bryoriarum	abrothallus	0	16	8590612	3475388	0	16	0	0
abrothallus cetrariae	abrothallus	19	38	8590612	7824496	18	36	0	3
abrothallus kamchatica	abrothallus	12	0	8590612	7747638	10	0	3	0
abrothallus lobariae	abrothallus	1	4	8590612	10176645	1	4	0	1
abrothallus nephromatis	abrothallus	4	23	8590612	8341723	4	23	4	2
abrothallus parmeliarum	abrothallus	103	294	8590612	7513752	82	228	6	108
abrothallus peyritschii	abrothallus	19	2	8590612	7867531	17	2	1	0
abrothallus prodiens	abrothallus	4	0	8590612	2592369	4	0	0	0
abrothallus santessonii	abrothallus	3	0	8590612	10761368	3	0	0	0
abrothallus suecicus	abrothallus	12	5	8590612	2592384	12	5	2	0
abrothallus usneae	abrothallus	0	8	8590612	2592364	0	8	0	0
abrothallus welwitschii	abrothallus	0	2	8590612	8343517	0	2	0	0
absconditella annexa	absconditella	0	3	2603171	3420344	0	1	0	1
absconditella celata	absconditella	3	1	2603171	2603173	3	1	0	0
absconditella delutula	absconditella	23	5	2603171	2603180	23	2	0	1
absconditella lignicola	absconditella	23	29	2603171	2603178	23	0	1	0
absconditella sphagnorum	absconditella	6	32	2603171	2603172	5	18	0	1
absconditella trivialis	absconditella	0	7	2603171	2603174	0	1	0	0
absidia caerulea	absidia	0	13	2558224	5250625	0	0	0	0
absidia cylindrospora	absidia	11	0	2558224	3385768	11	0	0	0
absidia glauca	absidia	20	22	2558224	5250615	20	22	0	22
absidia psychrophilia	absidia	0	2	2558224	5250610	0	2	0	2
absyrtus vernalis	absyrtus	0	5	1280174	1280176	0	0	0	0
absyrtus vicinator	absyrtus	4	55	1280174	1280178	2	24	0	8
abutilon theophrasti	abutilon	230	198	3152599	3152614	222	23	3	0
abyssoninoe abyssorum	abyssoninoe	0	117	2323222	2323226	0	111	0	83
abyssoninoe hibernica	abyssoninoe	0	7034	2323222	4308429	0	5274	0	467
abyssoninoe scopa	abyssoninoe	0	14341	2323222	2323223	0	11483	0	5275
abyssorchomene abyssorum	abyssorchomene	0	1	4314902	4314908	0	1	0	1
acaena argentea	acaena	0	4	3031147	5370675	0	4	0	0
acaena glabra	acaena	0	2	3031147	5370805	0	2	0	0
acaena inermis	acaena	0	3	3031147	5370687	0	3	0	0
acaena magellanica	acaena	0	2	3031147	5370832	0	2	0	0
acalitus brevitarsus	acalitus	24	35	2128555	4544242	22	15	0	2
acalitus calycophthirus	acalitus	3	0	2128555	4544252	1	0	0	0
acalitus longisetosus	acalitus	105	73	2128555	4544254	97	46	13	18
acalitus rudis	acalitus	12	0	2128555	10185681	0	8	0	3
acalles echinatus	acalles	68	0	1211430	8964590	54	0	0	0
acalles misellus	acalles	0	24	1211430	1211839	0	0	0	0
acalles ptinoides	acalles	0	104	1211430	8121411	0	1	0	0
acalypta carinata	acalypta	243	137	2020735	2020737	238	83	16	38
acalypta gracilis	acalypta	136	28	2020735	4488996	106	0	0	0
acalypta marginata	acalypta	76	69	2020735	4489008	73	20	0	3
acalypta musci	acalypta	0	3	2020735	4488988	0	0	0	0
acalypta nigrina	acalypta	215	22	2020735	4488999	193	9	18	1
acalypta parvula	acalypta	326	125	2020735	2020740	258	23	0	1
acalypta platycheila	acalypta	11	8	2020735	4489001	8	7	0	1
acalyptonotus violaceus	acalyptonotus	4	0	2180334	2180337	3	0	1	0
acalyptus carpini	acalyptus	106	40	1195877	5013501	98	15	4	0
acalyptus sericeus	acalyptus	91	0	1195877	5013497	86	0	9	0
acamptocladius reissi	acamptocladius	25	5	1451560	1451565	25	4	17	2
acamptocladius submontanus	acamptocladius	30	7	1451560	1451561	30	4	4	3
acanopsilus clavatus	acanopsilus	0	16	4406220	11156135	0	9	0	2
acanopsilus heterocerus	acanopsilus	1	26	4406220	4503482	1	1	0	0
acanosema nervosum	acanosema	2	75	9088733	4503227	2	34	0	9
acanosema tenuicorne	acanosema	0	5	9088733	12205410	0	4	0	4
acanthella erecta	acanthella	0	4	2242925	5183027	0	2	0	2
acanthella multiformis	acanthella	0	4	2242925	5183030	0	3	0	2
acantheurypon spinispinosum	acantheurypon	0	3	2244060	8087266	0	3	0	1
acanthicolepis asperrima	acanthicolepis	0	414	2314060	2314064	0	355	0	192
acanthicolepis zibrowii	acanthicolepis	0	3	2314060	7680243	0	3	0	1
acanthinula aculeata	acanthinula	449	12	4406204	4567429	443	0	0	0
acanthis flammea	acanthis	556426	292322	6782561	5231630	532657	151226	94940	39089
acanthis hornemanni	acanthis	22460	11649	6782561	5231646	22127	9286	9460	4784
acanthobasidium norvegicum	acanthobasidium	7	16	2553004	2553007	7	10	1	0
acanthobdella peledina	acanthobdella	16	8	2307564	2307565	10	2	9	0
acanthocardia aculeata	acanthocardia	0	17	2286547	2286548	0	11	0	4
acanthocardia echinata	acanthocardia	0	2521	2286547	2286523	0	1163	0	353
acanthocardia tuberculata	acanthocardia	0	1	2286547	2286550	0	1	0	1
acanthocephalus anguillae	acanthocephalus	60	0	2499634	2500461	20	0	0	0
acanthocephalus clavula	acanthocephalus	0	5	2499634	2500479	0	0	0	0
acanthocephalus lucii	acanthocephalus	91	0	2499634	9801951	59	0	0	0
acanthoceras zachariasii	acanthoceras	6	9	11328225	5421885	6	0	0	0
acanthochitona crinita	acanthochitona	0	147	2305881	2305904	0	135	0	22
acanthochitona discrepans	acanthochitona	0	10	2305881	2305943	0	8	0	0
acanthochitona fascicularis	acanthochitona	0	34	2305881	2305886	0	31	0	3
acanthocinus aedilis	acanthocinus	657	734	1102071	10595482	631	309	26	81
acanthocinus griseus	acanthocinus	152	111	1102071	4459446	141	7	0	0
acanthocnema glaucescens	acanthocnema	2	1	1555588	1555589	2	1	0	0
acanthocnema nigrimana	acanthocnema	3	5	1555588	1555595	3	3	3	0
acanthocyclops capillatus	acanthocyclops	0	662	2116764	2116783	0	399	0	103
acanthocyclops robustus	acanthocyclops	4	1834	2116764	2116772	3	1078	0	246
acanthocyclops vernalis	acanthocyclops	2	477	2116764	2116777	0	256	0	49
acanthodiaptomus denticornis	acanthodiaptomus	0	2847	2114552	2114553	0	2554	0	41
acanthodiaptomus tibetanus	acanthodiaptomus	0	12	2114552	4332486	0	12	0	12
acanthodoris pilosa	acanthodoris	0	433	2292101	2292107	0	261	0	149
acanthoica quattrospina	acanthoica	0	210	3202168	3202169	0	62	0	23
acantholabrus palloni	acantholabrus	0	89	2383143	2383144	0	22	0	0
acantholaimus elegans	acantholaimus	0	2	2281344	4347364	0	2	0	2
acantholaimus microdontus	acantholaimus	0	4	2281344	4347370	0	4	0	4
acantholeberis curvirostris	acantholeberis	1	1208	2234606	2234607	1	563	1	48
acantholycosa lignaria	acantholycosa	483	392	2147495	2147520	475	180	82	8
acantholycosa norvegica	acantholycosa	51	32	2147495	2147505	51	31	50	3
acantholyda erythrocephala	acantholyda	34	70	1248773	1248774	32	15	9	0
acantholyda flaviceps	acantholyda	30	16	1248773	4492349	28	3	0	0
acantholyda hieroglyphica	acantholyda	41	8	1248773	4492356	39	2	3	0
acantholyda posticalis	acantholyda	102	123	1248773	4492358	97	44	25	23
acanthonitschkea tristis	acanthonitschkea	19	42	2560829	8693810	18	4	0	0
acanthonotozoma cristatum	acanthonotozoma	0	60	2217057	2217482	0	57	0	42
acanthonotozoma inflatum	acanthonotozoma	0	3	2217057	2217488	0	1	0	0
acanthonotozoma rusanovae	acanthonotozoma	0	22	2217057	2217484	0	12	0	12
acanthonotozoma serratum	acanthonotozoma	0	216	2217057	2217478	0	183	0	161
acanthonotozoma sinuatum	acanthonotozoma	0	13	2217057	2217487	0	10	0	10
acanthophila alacella	acanthophila	471	153	3257500	11287091	352	12	0	0
acanthophila latipennella	acanthophila	81	17	3257500	12187634	80	10	5	0
acanthophiobolus helicosporus	acanthophiobolus	2	4	2613736	2613737	2	2	0	0
acanthophysellum fennicum	acanthophysellum	5	0	2553139	7996022	4	0	0	0
acanthophysellum lividocoeruleum	acanthophysellum	79	77	2553139	2553140	65	52	20	20
acanthopsyche atra	acanthopsyche	364	75	1853590	1853593	356	20	9	1
acanthoscelides obtectus	acanthoscelides	26	25	1047479	1047525	25	8	0	0
acanthosoma haemorrhoidale	acanthosoma	946	1489	11258498	5866246	887	483	0	12
acanthostepheia malmgreni	acanthostepheia	0	33	2218920	2218921	0	25	0	24
acanthostigma ellisii	acanthostigma	0	9	2560760	2613819	0	7	0	0
acanthostigmina longispora	acanthostigmina	0	3	2613840	2613843	0	0	0	0
acanthostigmina minuta	acanthostigmina	0	9	2613840	2613817	0	0	0	0
acanthostomella norvegica	acanthostomella	0	737	8124646	7386068	0	643	0	433
acanthothrips nodicornis	acanthothrips	24	39	1420399	1420401	24	10	3	0
acanthotrochus mirabilis	acanthotrochus	0	319	2279482	2279483	0	319	0	294
acanthus mollis	acanthus	0	7	3173198	5415455	0	7	0	0
acanthus spinosus	acanthus	0	4	3173198	5415453	0	4	0	0
acarospora admissa	acarospora	12	3	2600495	2600536	12	0	0	0
acarospora anomala	acarospora	22	0	2600495	3414497	16	0	0	0
acarospora badiofusca	acarospora	4	61	2600495	2600513	4	39	4	9
acarospora castaneocarpa	acarospora	9	0	2600495	9668795	5	0	0	0
acarospora cervina	acarospora	0	15	2600495	2600552	0	0	0	0
acarospora discreta	acarospora	1	24	2600495	7250032	1	8	0	6
acarospora fennica	acarospora	2	0	2600495	3414139	1	0	0	0
acarospora ferruginea	acarospora	0	3	2600495	12225925	0	3	0	3
acarospora fuscata	acarospora	157	372	2600495	7250044	137	137	2	32
acarospora glaucocarpa	acarospora	309	266	2600495	2600572	259	145	90	30
acarospora hospitans	acarospora	3	4	2600495	2600515	3	1	0	1
acarospora impressula	acarospora	3	102	2600495	2600499	3	6	0	0
acarospora insignis	acarospora	0	3	2600495	3414471	0	1	0	0
acarospora insolata	acarospora	0	3	2600495	2600554	0	1	0	1
acarospora macrospora	acarospora	47	55	2600495	11045139	44	36	27	0
acarospora moenium	acarospora	39	38	2600495	7737739	29	25	6	5
acarospora molybdina	acarospora	5	346	2600495	7250001	0	166	0	161
acarospora nitrophila	acarospora	4	35	2600495	2600531	2	17	0	4
acarospora oligospora	acarospora	2	11	2600495	2600549	2	1	0	0
acarospora privigna	acarospora	5	192	2600495	3413825	4	94	4	18
acarospora pyrenopsoides	acarospora	1	1	2600495	2600543	1	0	0	0
acarospora rosulata	acarospora	0	42	2600495	3413958	0	10	0	0
acarospora scrobiculata	acarospora	0	11	2600495	3414387	0	6	0	0
acarospora septentrionalis	acarospora	0	3	2600495	9752491	0	2	0	2
acarospora sinopica	acarospora	26	493	2600495	2600524	15	320	1	70
acarospora squamulosa	acarospora	3	97	2600495	7250041	3	40	0	23
acarospora umbilicata	acarospora	1	1	2600495	2600555	1	1	0	0
acarospora veronensis	acarospora	40	132	2600495	2600544	32	65	2	7
acarospora versicolor	acarospora	4	10	2600495	2600519	2	7	0	0
acarospora wahlenbergii	acarospora	0	74	2600495	3414113	0	66	0	17
acartauchenius scurrilis	acartauchenius	4	1	2136708	2136710	2	0	0	0
acartia bifilosa	acartia	1973	0	2114424	2114441	1362	0	0	0
acartia clausi	acartia	0	189	2114424	2114445	0	132	0	40
acartia discaudata	acartia	0	6	2114424	2114425	0	1	0	0
acartia longiremis	acartia	682	287	2114424	2114439	167	277	0	266
acartia tonsa	acartia	183	28	2114424	2114446	65	18	0	10
acartophthalmus bicolor	acartophthalmus	36	23	1443611	1443616	30	9	1	0
acartophthalmus nigrinus	acartophthalmus	196	1002	1443611	1443614	186	712	52	182
acartophthalmus pusio	acartophthalmus	7	0	1443611	1443612	7	0	0	0
acasis appensata	acasis	453	8	1968199	1968206	451	8	281	0
acasis viretata	acasis	2662	818	1968199	7681733	2528	246	0	0
acaulis primarius	acaulis	0	1147	2266099	2266102	0	265	0	68
acaulium acremonium	acaulium	8	0	9680974	9669382	8	0	0	0
acaulium album	acaulium	2	0	9680974	10582766	2	0	0	0
acaulium caviariforme	acaulium	32	0	9680974	9751091	32	0	30	0
acaulium retardatum	acaulium	16	4	9680974	12080218	16	4	0	4
acaulon muticum	acaulon	11	65	8215221	5280933	7	33	0	0
acaulopage dichotoma	acaulopage	11	0	2559128	2559130	11	0	0	0
acaulospora alpina	acaulospora	0	5	2560108	3311388	0	5	0	3
acaulospora brasiliensis	acaulospora	1	7	2560108	8178622	1	7	0	0
acaulospora koskei	acaulospora	0	17	2560108	2560121	0	0	0	0
acaulospora laevis	acaulospora	16	0	2560108	2560113	16	0	0	0
acaulospora rugosa	acaulospora	0	3	2560108	2560130	0	0	0	0
accacladium serpentulum	accacladium	0	12	2504727	7837772	0	0	0	0
accacoelium contortum	accacoelium	0	4	2504721	2504722	0	0	0	0
accipiter brevipes	accipiter	148	159	9405810	2480578	145	129	41	58
accipiter gentilis	accipiter	76361	69764	9405810	2480589	72573	22010	1517	2126
accipiter nisus	accipiter	114930	190958	9405810	2480637	88457	57168	2124	6543
acemya acuticornis	acemya	2	0	1464991	1465006	2	0	0	0
acemya rufitibia	acemya	6	0	1464991	1464992	6	0	0	0
acentrella lapponica	acentrella	49	590	1407537	1407539	48	571	48	362
acentria ephemerella	acentria	493	61	1881186	4531687	396	7	0	0
acentrophryne dolichonema	acentrophryne	0	1	2414382	2414383	0	1	0	1
acephala applanata	acephala	2	0	2581337	2581338	2	0	0	0
acer campestre	acer	16	182	3189834	3189863	15	15	0	0
acer griseum	acer	0	2	3189834	3768452	0	2	0	0
acer japonicum	acer	0	5	3189834	3767816	0	2	0	0
acer negundo	acer	169	23	3189834	3189866	168	10	0	0
acer palmatum	acer	0	10	3189834	3189882	0	2	0	0
acer pictum	acer	5	2	3189834	7262911	5	0	0	0
acer platanoides	acer	17623	16132	3189834	3189846	17268	3143	24	26
acer pseudoplatanus	acer	143	35814	3189834	3189870	135	24225	0	357
acer rubrum	acer	4	3	3189834	3189883	4	3	0	0
acer saccharinum	acer	6	7	3189834	3189837	6	1	0	0
acer saccharum	acer	1	5	3189834	3189859	1	5	0	0
acer tataricum	acer	577	373	3189834	3189843	575	48	0	0
acerbia alpina	acerbia	22	1	1809105	5115794	19	0	19	0
aceria anceps	aceria	5	1	2128489	4544280	0	0	0	0
aceria anthocoptes	aceria	3	0	2128489	4544742	3	0	0	0
aceria artemisiae	aceria	2	1	2128489	4544685	2	0	0	0
aceria brevipunctata	aceria	9	0	2128489	6912969	7	0	0	0
aceria centaureae	aceria	0	5	2128489	4544504	0	2	0	0
aceria cephaloneus	aceria	1	6	2128489	4544485	1	0	0	0
aceria dispar	aceria	15	1	2128489	4544520	15	1	0	0
aceria effusa	aceria	6	0	2128489	4544356	1	0	0	0
aceria erinea	aceria	0	3	2128489	2128502	0	0	0	0
aceria exigua	aceria	2	0	2128489	4544627	2	0	0	0
aceria fennica	aceria	0	2	2128489	4544594	0	2	0	0
aceria filiformis	aceria	1	1	2128489	6912613	1	0	0	0
aceria fraxinivora	aceria	4	4	2128489	4544510	4	0	0	0
aceria galiobia	aceria	6	2	2128489	4544473	6	1	0	0
aceria geranii	aceria	5	3	2128489	4544409	1	0	0	0
aceria iteina	aceria	0	4	2128489	4544567	0	0	0	0
aceria laticincta	aceria	9	0	2128489	4544403	2	0	0	0
aceria macrochelus	aceria	0	5	2128489	4544634	0	2	0	0
aceria marginemvolvens	aceria	2	0	2128489	4544482	2	0	0	0
aceria nalepai	aceria	5	0	2128489	4544708	1	0	0	0
aceria nervisequa	aceria	2	2	2128489	4544647	2	0	0	0
aceria platanoidea	aceria	7	4	2128489	4544683	7	1	0	0
aceria populi	aceria	5	1	2128489	4544623	5	0	0	0
aceria pseudoplatani	aceria	2	24	2128489	4544550	2	6	0	2
aceria rhodiolae	aceria	0	3	2128489	4544344	0	3	0	0
aceria scaber	aceria	9	0	2128489	4544544	6	0	0	0
aceria silvicola	aceria	23	2	2128489	4544443	16	0	0	0
aceria tuberculata	aceria	7	0	2128489	4544499	6	0	0	0
aceria varia	aceria	12	2	2128489	4544394	10	1	0	0
acericerus heydenii	acericerus	3	25	2043134	4484044	2	3	0	0
acericerus ribauti	acericerus	18	4	2043134	4484051	18	0	0	0
acericerus vittifrons	acericerus	53	2	2043134	4484047	53	0	0	0
acerocnema breviseta	acerocnema	22	0	1555659	8481888	22	0	0	0
aceroides latipes	aceroides	0	353	2218843	2218846	0	352	0	342
acesta excavata	acesta	0	1037	2288745	5189501	0	921	0	36
acetivibrio cellulolyticus	acetivibrio	3	1	3226685	3226686	3	0	0	0
acetobacterium bakii	acetobacterium	7	0	3226379	3226385	7	0	0	0
acetropis gimmerthalii	acetropis	182	0	2011361	4487294	182	0	0	0
